material_id,display_name,family,grade,UNS/standard,product_state,source_id,data_role,temperature_coverage,composition_available,process_metadata,notes,raw_source_file,raw_sheet,raw_row_number,raw_row_json
MAT-SS316-XLSX,316不锈钢（上传表）,不锈钢,316（待确认L/状态）,,未说明,SRC-SS316-XLSX,热物性温度曲线,533.15–1093.15 K,否,缺失,先作为数据结构样板，不能与316L SRM自动合并,alloy_material_dataset_v0.1.xlsx,Materials,4,"{""UNS/standard"": """", ""composition_available"": ""否"", ""data_role"": ""热物性温度曲线"", ""display_name"": ""316不锈钢（上传表）"", ""family"": ""不锈钢"", ""grade"": ""316（待确认L/状态）"", ""material_id"": ""MAT-SS316-XLSX"", ""notes"": ""先作为数据结构样板，不能与316L SRM自动合并"", ""process_metadata"": ""缺失"", ""product_state"": ""未说明"", ""source_id"": ""SRC-SS316-XLSX"", ""temperature_coverage"": ""533.15–1093.15 K""}"
MAT-316L-SRM1155A,NIST SRM 1155a 316L,奥氏体不锈钢,316L,SRM 1155a,固态/液态实验样品,SRC-316L-PICHLER,高温热物性与成分,473–2800 K,是,样品/实验方法见论文,优先用于高温热物性模型和仿真,alloy_material_dataset_v0.1.xlsx,Materials,5,"{""UNS/standard"": ""SRM 1155a"", ""composition_available"": ""是"", ""data_role"": ""高温热物性与成分"", ""display_name"": ""NIST SRM 1155a 316L"", ""family"": ""奥氏体不锈钢"", ""grade"": ""316L"", ""material_id"": ""MAT-316L-SRM1155A"", ""notes"": ""优先用于高温热物性模型和仿真"", ""process_metadata"": ""样品/实验方法见论文"", ""product_state"": ""固态/液态实验样品"", ""source_id"": ""SRC-316L-PICHLER"", ""temperature_coverage"": ""473–2800 K""}"
MAT-AL6061-T6,Al 6061-T6,铝合金,6061-T6,UNS AA96061,T6,SRC-AL6061-NIST,低温拟合与商品材料卡,4–300 K,否,T6,来源页已归档,alloy_material_dataset_v0.1.xlsx,Materials,6,"{""UNS/standard"": ""UNS AA96061"", ""composition_available"": ""否"", ""data_role"": ""低温拟合与商品材料卡"", ""display_name"": ""Al 6061-T6"", ""family"": ""铝合金"", ""grade"": ""6061-T6"", ""material_id"": ""MAT-AL6061-T6"", ""notes"": ""来源页已归档"", ""process_metadata"": ""T6"", ""product_state"": ""T6"", ""source_id"": ""SRC-AL6061-NIST"", ""temperature_coverage"": ""4–300 K""}"
MAT-IN718,INCONEL 718,镍基高温合金,718,UNS N07718,多种热处理,SRC-IN718-SMC,商品材料卡/高温曲线,约77–1366 K,是,热处理依表格,厂家典型数据；可作为未来高温/高熵合金的对照基准,alloy_material_dataset_v0.1.xlsx,Materials,7,"{""UNS/standard"": ""UNS N07718"", ""composition_available"": ""是"", ""data_role"": ""商品材料卡/高温曲线"", ""display_name"": ""INCONEL 718"", ""family"": ""镍基高温合金"", ""grade"": ""718"", ""material_id"": ""MAT-IN718"", ""notes"": ""厂家典型数据；可作为未来高温/高熵合金的对照基准"", ""process_metadata"": ""热处理依表格"", ""product_state"": ""多种热处理"", ""source_id"": ""SRC-IN718-SMC"", ""temperature_coverage"": ""约77–1366 K""}"
MAT-TI64,TIMETAL 6-4,α+β钛合金,Ti-6Al-4V,AMS 4911D / MIL-T-9046,标准级,SRC-TI64-TIMET,商品材料卡/成分范围,约63–673 K推荐使用,是,产品形态与热处理强相关,当前只抽取明确文字值，未数字化图片曲线,alloy_material_dataset_v0.1.xlsx,Materials,8,"{""UNS/standard"": ""AMS 4911D / MIL-T-9046"", ""composition_available"": ""是"", ""data_role"": ""商品材料卡/成分范围"", ""display_name"": ""TIMETAL 6-4"", ""family"": ""α+β钛合金"", ""grade"": ""Ti-6Al-4V"", ""material_id"": ""MAT-TI64"", ""notes"": ""当前只抽取明确文字值，未数字化图片曲线"", ""process_metadata"": ""产品形态与热处理强相关"", ""product_state"": ""标准级"", ""source_id"": ""SRC-TI64-TIMET"", ""temperature_coverage"": ""约63–673 K推荐使用""}"
MAT-BAMBU-ASA,拓竹 ASA,3D打印耗材/工程塑料,ASA,,FDM打印件（X-Y方向，100%填充）,SRC-BAMBU-FILAMENT-MD,厂家技术参数表,25–100 °C,否,喷嘴260 °C；热床80 °C；退火80–90 °C/6–12 h,由已解析Markdown表格人工复核录入；不与未注明打印方向的通用树脂数据混用,3D打印耗材详细性能.md,ASA,753,
MAT-BAMBU-PETG-BASIC,拓竹 基础PETG,3D打印耗材/工程塑料,PETG,,FDM打印件（X-Y方向，100%填充）,SRC-BAMBU-FILAMENT-MD,厂家技术参数表,25–75 °C,否,喷嘴255 °C；热床70 °C；打印速度150 mm/s,由已解析Markdown表格人工复核录入；不与未注明打印方向的通用树脂数据混用,3D打印耗材详细性能.md,基础PETG,48,
MAT-BAMBU-ABS,拓竹 ABS,3D打印耗材/工程塑料,ABS,,FDM打印件（X-Y方向，100%填充）,SRC-BAMBU-FILAMENT-MD,厂家技术参数表,25–87 °C,否,喷嘴260 °C；热床80 °C；退火80–90 °C/6–12 h,由已解析Markdown表格人工复核录入；不与未注明打印方向的通用树脂数据混用,3D打印耗材详细性能.md,ABS,701,
MAT-BAMBU-PLA-PURE,拓竹 纯净PLA,3D打印耗材/工程塑料,PLA Pure,,FDM打印件（X-Y方向，100%填充）,SRC-BAMBU-FILAMENT-MD,厂家技术参数表,25–60 °C,否,厂家样条条件见来源；性质按X-Y方向记录,由已解析Markdown表格人工复核录入；不与未注明打印方向的通用树脂数据混用,3D打印耗材详细性能.md,纯净PLA,992,
MAT-BAMBU-PAHT-CF,拓竹 PAHT-CF,3D打印耗材/碳纤维增强尼龙,PAHT-CF,,FDM打印件（X-Y方向，100%填充）,SRC-BAMBU-FILAMENT-MD,厂家技术参数表,25–194 °C,否,喷嘴290 °C；热床100 °C；打印速度100 mm/s,由已解析Markdown表格人工复核录入；不与未注明打印方向的通用树脂数据混用,3D打印耗材详细性能.md,PAHT-CF,807,
MAT-BAMBU-PC,拓竹 PC,3D打印耗材/工程塑料,PC,,FDM打印件（X-Y方向，100%填充）,SRC-BAMBU-FILAMENT-MD,厂家技术参数表,25–117 °C,否,喷嘴270 °C；热床100 °C；退火85–100 °C/6–12 h,由已解析Markdown表格人工复核录入；不与未注明打印方向的通用树脂数据混用,3D打印耗材详细性能.md,PC,902,
